t[h] t[s] "Q(t) J/s" "dQ(t) J/gh" "Q(t) W/m³" "Q(t) J/kgs"
130,5 469800 0,7604 0,1126 51,6088 0,0313
130,75 470700 0,7593 0,1124 51,5362 0,0312
131 471600 0,7583 0,1123 51,4647 0,0312
131,25 472500 0,7572 0,1121 51,3942 0,0311
131,5 473400 0,7562 0,1120 51,3247 0,0311
131,75 474300 0,7552 0,1118 51,2562 0,0311
132 475200 0,7542 0,1117 51,1886 0,0310
132,25 476100 0,7532 0,1115 51,1218 0,0310
132,5 477000 0,7523 0,1114 51,0560 0,0309
132,75 477900 0,7513 0,1113 50,9909 0,0309
133 478800 0,7504 0,1111 50,9267 0,0309
133,25 479700 0,7494 0,1110 50,8632 0,0308
133,5 480600 0,7485 0,1108 50,8004 0,0308
133,75 481500 0,7476 0,1107 50,7383 0,0308
134 482400 0,7467 0,1106 50,6769 0,0307
134,25 483300 0,7458 0,1104 50,6161 0,0307
134,5 484200 0,7449 0,1103 50,5558 0,0306
134,75 485100 0,7440 0,1102 50,4961 0,0306
135 486000 0,7431 0,1100 50,4369 0,0306
135,25 486900 0,7423 0,1099 50,3781 0,0305
135,5 487800 0,7414 0,1098 50,3197 0,0305
135,75 488700 0,7406 0,1097 50,2617 0,0305
136 489600 0,7397 0,1095 50,2040 0,0304
136,25 490500 0,7389 0,1094 50,1466 0,0304
136,5 491400 0,7380 0,1093 50,0894 0,0304
136,75 492300 0,7372 0,1092 50,0323 0,0303
137 493200 0,7363 0,1090 49,9755 0,0303
137,25 494100 0,7355 0,1089 49,9187 0,0303
137,5 495000 0,7347 0,1088 49,8619 0,0302
137,75 495900 0,7338 0,1087 49,8051 0,0302
138 496800 0,7330 0,1085 49,7483 0,0302
138,25 497700 0,7322 0,1084 49,6913 0,0301
138,5 498600 0,7313 0,1083 49,6342 0,0301
138,75 499500 0,7305 0,1082 49,5769 0,0300
139 500400 0,7296 0,1080 49,5193 0,0300
139,25 501300 0,7288 0,1079 49,4613 0,0300
139,5 502200 0,7279 0,1078 49,4030 0,0299
139,75 503100 0,7270 0,1077 49,3442 0,0299
140 504000 0,7262 0,1075 49,2849 0,0299
140,25 504900 0,7253 0,1074 49,2251 0,0298
140,5 505800 0,7244 0,1073 49,1646 0,0298
140,75 506700 0,7235 0,1071 49,1035 0,0298
141 507600 0,7226 0,1070 49,0416 0,0297
141,25 508500 0,7217 0,1069 48,9789 0,0297
141,5 509400 0,7207 0,1067 48,9154 0,0296
141,75 510300 0,7198 0,1066 48,8509 0,0296
142 511200 0,7188 0,1064 48,7854 0,0296
142,25 512100 0,7178 0,1063 48,7189 0,0295
142,5 513000 0,7168 0,1061 48,6512 0,0295
142,75 513900 0,7158 0,1060 48,5823 0,0294
143 514800 0,7148 0,1058 48,5122 0,0294
143,25 515700 0,7137 0,1057 48,4407 0,0294
143,5 516600 0,7127 0,1055 48,3678 0,0293
143,75 517500 0,7116 0,1054 48,2935 0,0293
144 518400 0,7104 0,1052 48,2176 0,0292
144,25 519300 0,7093 0,1050 48,1400 0,0292
144,5 520200 0,7081 0,1049 48,0608 0,0291
144,75 521100 0,7069 0,1047 47,9798 0,0291
145 522000 0,7057 0,1045 47,8969 0,0290
145,25 522900 0,7045 0,1043 47,8121 0,0290
145,5 523800 0,7032 0,1041 47,7253 0,0289
145,75 524700 0,7019 0,1039 47,6364 0,0289
146 525600 0,7005 0,1037 47,5453 0,0288
146,25 526500 0,6992 0,1035 47,4520 0,0288
146,5 527400 0,6978 0,1033 47,3563 0,0287
146,75 528300 0,6963 0,1031 47,2583 0,0286
147 529200 0,6948 0,1029 47,1577 0,0286
147,25 530100 0,6933 0,1027 47,0545 0,0285
147,5 531000 0,6917 0,1024 46,9487 0,0285
147,75 531900 0,6901 0,1022 46,8401 0,0284
148 532800 0,6885 0,1020 46,7286 0,0283
148,25 533700 0,6868 0,1017 46,6142 0,0283
148,5 534600 0,6851 0,1014 46,4968 0,0282
148,75 535500 0,6833 0,1012 46,3763 0,0281
149 536400 0,6815 0,1009 46,2525 0,0280
149,25 537300 0,6796 0,1006 46,1254 0,0280
149,5 538200 0,6777 0,1004 45,9949 0,0279
149,75 539100 0,6757 0,1001 45,8609 0,0278
150 540000 0,6737 0,0998 45,7233 0,0277
150,25 540900 0,6716 0,0995 45,5820 0,0276
150,5 541800 0,6695 0,0991 45,4370 0,0275
150,75 542700 0,6673 0,0988 45,2880 0,0274
151 543600 0,6650 0,0985 45,1350 0,0274
151,25 544500 0,6627 0,0981 44,9779 0,0273
151,5 545400 0,6603 0,0978 44,8166 0,0272
151,75 546300 0,6579 0,0974 44,6510 0,0271
152 547200 0,6554 0,0970 44,4809 0,0270
152,25 548100 0,6528 0,0967 44,3064 0,0269
152,5 549000 0,6502 0,0963 44,1272 0,0267
152,75 549900 0,6475 0,0959 43,9433 0,0266
153 550800 0,6447 0,0955 43,7545 0,0265
153,25 551700 0,6418 0,0950 43,5607 0,0264
153,5 552600 0,6389 0,0946 43,3619 0,0263
153,75 553500 0,6359 0,0942 43,1579 0,0262
154 554400 0,6328 0,0937 42,9485 0,0260
154,25 555300 0,6296 0,0932 42,7338 0,0259
154,5 556200 0,6264 0,0928 42,5135 0,0258
154,75 557100 0,6231 0,0923 42,2875 0,0256
155 558000 0,6197 0,0918 42,0558 0,0255
155,25 558900 0,6162 0,0912 41,8182 0,0253
155,5 559800 0,6126 0,0907 41,5745 0,0252
155,75 560700 0,6089 0,0902 41,3247 0,0250
156 561600 0,6051 0,0896 41,0686 0,0249
156,25 562500 0,6012 0,0890 40,8061 0,0247
156,5 563400 0,5973 0,0884 40,5372 0,0246
156,75 564300 0,5932 0,0878 40,2615 0,0244
157 565200 0,5891 0,0872 39,9791 0,0242
157,25 566100 0,5848 0,0866 39,6897 0,0241
157,5 567000 0,5804 0,0859 39,3934 0,0239
157,75 567900 0,5760 0,0853 39,0898 0,0237
158 568800 0,5714 0,0846 38,7790 0,0235
158,25 569700 0,5667 0,0839 38,4607 0,0233
158,5 570600 0,5619 0,0832 38,1348 0,0231
158,75 571500 0,5570 0,0825 37,8012 0,0229
159 572400 0,5519 0,0817 37,4597 0,0227
159,25 573300 0,5468 0,0810 37,1103 0,0225
159,5 574200 0,5415 0,0802 36,7527 0,0223
159,75 575100 0,5361 0,0794 36,3868 0,0221
160 576000 0,5306 0,0786 36,0125 0,0218
160,25 576900 0,5250 0,0777 35,6296 0,0216
160,5 577800 0,5192 0,0769 35,2380 0,0214
160,75 578700 0,5133 0,0760 34,8376 0,0211
161 579600 0,5073 0,0751 34,4281 0,0209
161,25 580500 0,5011 0,0742 34,0095 0,0206
161,5 581400 0,4948 0,0733 33,5815 0,0204
161,75 582300 0,4883 0,0723 33,1441 0,0201
162 583200 0,4818 0,0713 32,6971 0,0198
162,25 584100 0,4750 0,0703 32,2403 0,0195
162,5 585000 0,4682 0,0693 31,7735 0,0193
162,75 585900 0,4611 0,0683 31,2967 0,0190
163 586800 0,4540 0,0672 30,8096 0,0187
163,25 587700 0,4466 0,0661 30,3121 0,0184
163,5 588600 0,4391 0,0650 29,8040 0,0181
163,75 589500 0,4315 0,0639 29,2852 0,0177
164 590400 0,4237 0,0627 28,7554 0,0174
164,25 591300 0,4157 0,0616 28,2146 0,0171
164,5 592200 0,4076 0,0604 27,6626 0,0168
164,75 593100 0,3993 0,0591 27,0992 0,0164
165 594000 0,3908 0,0579 26,5242 0,0161
165,25 594900 0,3822 0,0566 25,9374 0,0157
165,5 595800 0,3733 0,0553 25,3388 0,0154
165,75 596700 0,3643 0,0540 24,7280 0,0150
166 597600 0,3552 0,0526 24,1050 0,0146
166,25 598500 0,3458 0,0512 23,4695 0,0142
166,5 599400 0,3363 0,0498 22,8215 0,0138
166,75 600300 0,3265 0,0484 22,1606 0,0134
167 601200 0,3166 0,0469 21,4867 0,0130
167,25 602100 0,3065 0,0454 20,7997 0,0126
167,5 603000 0,2961 0,0439 20,0993 0,0122
167,75 603900 0,2856 0,0423 19,3854 0,0117
168 604800 0,2749 0,0407 18,6577 0,0113
