t[h] t[s] "Q(t) J/s" "dQ(t) J/gh" "Q(t) W/m³" "Q(t) J/kgs"
25,75 92700 0,7387 0,1094 50,1388 0,0304
26 93600 0,7441 0,1102 50,5030 0,0306
26,25 94500 0,7495 0,1110 50,8695 0,0308
26,5 95400 0,7549 0,1118 51,2383 0,0311
26,75 96300 0,7604 0,1126 51,6092 0,0313
27 97200 0,7659 0,1134 51,9822 0,0315
27,25 98100 0,7714 0,1142 52,3571 0,0317
27,5 99000 0,7770 0,1151 52,7338 0,0320
27,75 99900 0,7826 0,1159 53,1123 0,0322
28 100800 0,7882 0,1167 53,4924 0,0324
28,25 101700 0,7938 0,1175 53,8740 0,0327
28,5 102600 0,7994 0,1184 54,2570 0,0329
28,75 103500 0,8051 0,1192 54,6414 0,0331
29 104400 0,8108 0,1201 55,0271 0,0333
29,25 105300 0,8165 0,1209 55,4138 0,0336
29,5 106200 0,8222 0,1217 55,8017 0,0338
29,75 107100 0,8279 0,1226 56,1905 0,0341
30 108000 0,8337 0,1234 56,5801 0,0343
30,25 108900 0,8394 0,1243 56,9705 0,0345
30,5 109800 0,8452 0,1252 57,3617 0,0348
30,75 110700 0,8509 0,1260 57,7534 0,0350
31 111600 0,8567 0,1269 58,1456 0,0352
31,25 112500 0,8625 0,1277 58,5383 0,0355
31,5 113400 0,8683 0,1286 58,9313 0,0357
31,75 114300 0,8741 0,1294 59,3245 0,0360
32 115200 0,8799 0,1303 59,7180 0,0362
32,25 116100 0,8857 0,1312 60,1115 0,0364
32,5 117000 0,8915 0,1320 60,5050 0,0367
32,75 117900 0,8973 0,1329 60,8984 0,0369
33 118800 0,9031 0,1337 61,2918 0,0371
33,25 119700 0,9089 0,1346 61,6848 0,0374
33,5 120600 0,9147 0,1354 62,0776 0,0376
33,75 121500 0,9204 0,1363 62,4700 0,0379
34 122400 0,9262 0,1372 62,8619 0,0381
34,25 123300 0,9320 0,1380 63,2533 0,0383
34,5 124200 0,9377 0,1389 63,6441 0,0386
34,75 125100 0,9435 0,1397 64,0342 0,0388
35 126000 0,9492 0,1406 64,4236 0,0390
35,25 126900 0,9549 0,1414 64,8121 0,0393
35,5 127800 0,9607 0,1423 65,1998 0,0395
35,75 128700 0,9664 0,1431 65,5865 0,0397
36 129600 0,9720 0,1439 65,9721 0,0400
36,25 130500 0,9777 0,1448 66,3567 0,0402
36,5 131400 0,9834 0,1456 66,7401 0,0404
36,75 132300 0,9890 0,1464 67,1223 0,0407
37 133200 0,9946 0,1473 67,5033 0,0409
37,25 134100 1,0002 0,1481 67,8828 0,0411
37,5 135000 1,0058 0,1489 68,2610 0,0414
37,75 135900 1,0113 0,1498 68,6377 0,0416
38 136800 1,0168 0,1506 69,0128 0,0418
38,25 137700 1,0223 0,1514 69,3864 0,0421
38,5 138600 1,0278 0,1522 69,7583 0,0423
38,75 139500 1,0333 0,1530 70,1285 0,0425
39 140400 1,0387 0,1538 70,4969 0,0427
39,25 141300 1,0441 0,1546 70,8635 0,0429
39,5 142200 1,0495 0,1554 71,2283 0,0432
39,75 143100 1,0548 0,1562 71,5911 0,0434
40 144000 1,0601 0,1570 71,9519 0,0436
40,25 144900 1,0654 0,1578 72,3107 0,0438
40,5 145800 1,0707 0,1585 72,6674 0,0440
40,75 146700 1,0759 0,1593 73,0220 0,0443
41 147600 1,0811 0,1601 73,3744 0,0445
41,25 148500 1,0863 0,1609 73,7245 0,0447
41,5 149400 1,0914 0,1616 74,0724 0,0449
41,75 150300 1,0965 0,1624 74,4180 0,0451
42 151200 1,1015 0,1631 74,7611 0,0453
42,25 152100 1,1066 0,1639 75,1019 0,0455
42,5 153000 1,1115 0,1646 75,4402 0,0457
42,75 153900 1,1165 0,1653 75,7760 0,0459
43 154800 1,1214 0,1661 76,1092 0,0461
43,25 155700 1,1263 0,1668 76,4398 0,0463
43,5 156600 1,1311 0,1675 76,7678 0,0465
43,75 157500 1,1359 0,1682 77,0932 0,0467
44 158400 1,1406 0,1689 77,4158 0,0469
44,25 159300 1,1454 0,1696 77,7356 0,0471
44,5 160200 1,1500 0,1703 78,0527 0,0473
44,75 161100 1,1547 0,1710 78,3670 0,0475
45 162000 1,1593 0,1717 78,6783 0,0477
45,25 162900 1,1638 0,1723 78,9868 0,0479
45,5 163800 1,1683 0,1730 79,2924 0,0481
45,75 164700 1,1728 0,1737 79,5949 0,0482
46 165600 1,1772 0,1743 79,8945 0,0484
46,25 166500 1,1815 0,1750 80,1910 0,0486
46,5 167400 1,1859 0,1756 80,4845 0,0488
46,75 168300 1,1901 0,1762 80,7749 0,0490
47 169200 1,1944 0,1769 81,0621 0,0491
47,25 170100 1,1986 0,1775 81,3462 0,0493
47,5 171000 1,2027 0,1781 81,6271 0,0495
47,75 171900 1,2068 0,1787 81,9048 0,0496
48 172800 1,2108 0,1793 82,1792 0,0498
48,25 173700 1,2148 0,1799 82,4504 0,0500
48,5 174600 1,2188 0,1805 82,7183 0,0501
48,75 175500 1,2227 0,1811 82,9828 0,0503
49 176400 1,2265 0,1816 83,2440 0,0505
49,25 177300 1,2303 0,1822 83,5019 0,0506
49,5 178200 1,2341 0,1827 83,7564 0,0508
49,75 179100 1,2378 0,1833 84,0074 0,0509
50 180000 1,2414 0,1838 84,2550 0,0511
50,25 180900 1,2450 0,1844 84,4992 0,0512
50,5 181800 1,2486 0,1849 84,7398 0,0514
50,75 182700 1,2521 0,1854 84,9770 0,0515
51 183600 1,2555 0,1859 85,2107 0,0516
51,25 184500 1,2589 0,1864 85,4408 0,0518
51,5 185400 1,2622 0,1869 85,6674 0,0519
51,75 186300 1,2655 0,1874 85,8905 0,0521
52 187200 1,2687 0,1879 86,1099 0,0522
52,25 188100 1,2719 0,1883 86,3258 0,0523
52,5 189000 1,2751 0,1888 86,5380 0,0524
52,75 189900 1,2781 0,1893 86,7466 0,0526
53 190800 1,2812 0,1897 86,9516 0,0527
53,25 191700 1,2841 0,1902 87,1529 0,0528
53,5 192600 1,2870 0,1906 87,3505 0,0529
53,75 193500 1,2899 0,1910 87,5445 0,0531
54 194400 1,2927 0,1914 87,7348 0,0532
54,25 195300 1,2954 0,1918 87,9214 0,0533
54,5 196200 1,2981 0,1922 88,1042 0,0534
54,75 197100 1,3008 0,1926 88,2834 0,0535
55 198000 1,3034 0,1930 88,4588 0,0536
55,25 198900 1,3059 0,1934 88,6305 0,0537
55,5 199800 1,3084 0,1937 88,7985 0,0538
55,75 200700 1,3108 0,1941 88,9627 0,0539
56 201600 1,3131 0,1945 89,1232 0,0540
56,25 202500 1,3155 0,1948 89,2799 0,0541
56,5 203400 1,3177 0,1951 89,4328 0,0542
56,75 204300 1,3199 0,1955 89,5820 0,0543
57 205200 1,3220 0,1958 89,7274 0,0544
57,25 206100 1,3241 0,1961 89,8690 0,0545
57,5 207000 1,3262 0,1964 90,0068 0,0545
57,75 207900 1,3281 0,1967 90,1409 0,0546
58 208800 1,3301 0,1970 90,2712 0,0547
58,25 209700 1,3319 0,1972 90,3977 0,0548
58,5 210600 1,3337 0,1975 90,5204 0,0549
58,75 211500 1,3355 0,1978 90,6393 0,0549
59 212400 1,3372 0,1980 90,7544 0,0550
59,25 213300 1,3388 0,1983 90,8658 0,0551
59,5 214200 1,3404 0,1985 90,9734 0,0551
59,75 215100 1,3419 0,1987 91,0772 0,0552
60 216000 1,3434 0,1989 91,1772 0,0553
60,25 216900 1,3448 0,1991 91,2735 0,0553
60,5 217800 1,3462 0,1993 91,3660 0,0554
60,75 218700 1,3475 0,1995 91,4547 0,0554
61 219600 1,3488 0,1997 91,5397 0,0555
61,25 220500 1,3499 0,1999 91,6209 0,0555
61,5 221400 1,3511 0,2001 91,6984 0,0556
61,75 222300 1,3522 0,2002 91,7722 0,0556
62 223200 1,3532 0,2004 91,8422 0,0557
62,25 224100 1,3542 0,2005 91,9084 0,0557
62,5 225000 1,3551 0,2007 91,9710 0,0557
62,75 225900 1,3560 0,2008 92,0298 0,0558
63 226800 1,3568 0,2009 92,0850 0,0558
63,25 227700 1,3575 0,2010 92,1364 0,0558
63,5 228600 1,3582 0,2011 92,1842 0,0559
63,75 229500 1,3589 0,2012 92,2283 0,0559
64 230400 1,3595 0,2013 92,2687 0,0559
64,25 231300 1,3600 0,2014 92,3055 0,0559
64,5 232200 1,3605 0,2015 92,3387 0,0560
64,75 233100 1,3610 0,2015 92,3682 0,0560
65 234000 1,3613 0,2016 92,3941 0,0560
65,25 234900 1,3617 0,2016 92,4164 0,0560
65,5 235800 1,3619 0,2017 92,4351 0,0560
65,75 236700 1,3622 0,2017 92,4502 0,0560
66 237600 1,3623 0,2017 92,4618 0,0560
66,25 238500 1,3625 0,2018 92,4698 0,0560
66,5 239400 1,3625 0,2018 92,4743 0,0560
66,75 240300 1,3625 0,2018 92,4752 0,0560
67 241200 1,3625 0,2018 92,4727 0,0560
67,25 242100 1,3624 0,2017 92,4667 0,0560
67,5 243000 1,3623 0,2017 92,4572 0,0560
67,75 243900 1,3621 0,2017 92,4442 0,0560
68 244800 1,3618 0,2017 92,4279 0,0560
68,25 245700 1,3615 0,2016 92,4081 0,0560
68,5 246600 1,3612 0,2016 92,3849 0,0560
68,75 247500 1,3608 0,2015 92,3583 0,0560
69 248400 1,3604 0,2014 92,3283 0,0560
69,25 249300 1,3599 0,2014 92,2950 0,0559
69,5 250200 1,3593 0,2013 92,2584 0,0559
69,75 251100 1,3588 0,2012 92,2185 0,0559
70 252000 1,3581 0,2011 92,1753 0,0559
70,25 252900 1,3574 0,2010 92,1288 0,0558
70,5 253800 1,3567 0,2009 92,0791 0,0558
70,75 254700 1,3559 0,2008 92,0261 0,0558
71 255600 1,3551 0,2007 91,9700 0,0557
71,25 256500 1,3542 0,2005 91,9107 0,0557
71,5 257400 1,3533 0,2004 91,8482 0,0557
71,75 258300 1,3523 0,2003 91,7826 0,0556
72 259200 1,3513 0,2001 91,7138 0,0556
72,25 260100 1,3503 0,1999 91,6420 0,0555
72,5 261000 1,3492 0,1998 91,5671 0,0555
72,75 261900 1,3480 0,1996 91,4892 0,0554
73 262800 1,3468 0,1994 91,4082 0,0554
73,25 263700 1,3456 0,1993 91,3243 0,0553
73,5 264600 1,3443 0,1991 91,2374 0,0553
73,75 265500 1,3430 0,1989 91,1475 0,0552
74 266400 1,3416 0,1987 91,0547 0,0552
74,25 267300 1,3402 0,1985 90,9590 0,0551
74,5 268200 1,3387 0,1982 90,8605 0,0551
74,75 269100 1,3373 0,1980 90,7590 0,0550
75 270000 1,3357 0,1978 90,6548 0,0549
75,25 270900 1,3341 0,1976 90,5478 0,0549
75,5 271800 1,3325 0,1973 90,4380 0,0548
75,75 272700 1,3309 0,1971 90,3255 0,0547
76 273600 1,3292 0,1968 90,2103 0,0547
76,25 274500 1,3274 0,1966 90,0923 0,0546
76,5 275400 1,3257 0,1963 89,9718 0,0545
76,75 276300 1,3238 0,1960 89,8486 0,0545
77 277200 1,3220 0,1958 89,7227 0,0544
77,25 278100 1,3201 0,1955 89,5944 0,0543
77,5 279000 1,3182 0,1952 89,4634 0,0542
77,75 279900 1,3162 0,1949 89,3300 0,0541
78 280800 1,3142 0,1946 89,1940 0,0541
78,25 281700 1,3122 0,1943 89,0556 0,0540
78,5 282600 1,3101 0,1940 88,9148 0,0539
78,75 283500 1,3080 0,1937 88,7716 0,0538
79 284400 1,3058 0,1934 88,6260 0,0537
79,25 285300 1,3036 0,1930 88,4780 0,0536
79,5 286200 1,3014 0,1927 88,3278 0,0535
79,75 287100 1,2992 0,1924 88,1752 0,0534
80 288000 1,2969 0,1920 88,0204 0,0533
80,25 288900 1,2946 0,1917 87,8634 0,0533
80,5 289800 1,2922 0,1914 87,7042 0,0532
80,75 290700 1,2899 0,1910 87,5429 0,0531
81 291600 1,2875 0,1906 87,3794 0,0530
81,25 292500 1,2850 0,1903 87,2138 0,0529
81,5 293400 1,2825 0,1899 87,0461 0,0528
81,75 294300 1,2800 0,1895 86,8764 0,0527
82 295200 1,2775 0,1892 86,7047 0,0525
82,25 296100 1,2750 0,1888 86,5310 0,0524
82,5 297000 1,2724 0,1884 86,3554 0,0523
82,75 297900 1,2698 0,1880 86,1779 0,0522
83 298800 1,2671 0,1876 85,9985 0,0521
83,25 299700 1,2644 0,1872 85,8172 0,0520
83,5 300600 1,2617 0,1868 85,6342 0,0519
83,75 301500 1,2590 0,1864 85,4493 0,0518
84 302400 1,2563 0,1860 85,2627 0,0517
84,25 303300 1,2535 0,1856 85,0744 0,0516
84,5 304200 1,2507 0,1852 84,8844 0,0514
84,75 305100 1,2479 0,1848 84,6927 0,0513
85 306000 1,2450 0,1844 84,4995 0,0512
85,25 306900 1,2421 0,1839 84,3046 0,0511
85,5 307800 1,2393 0,1835 84,1082 0,0510
85,75 308700 1,2363 0,1831 83,9102 0,0509
86 309600 1,2334 0,1826 83,7108 0,0507
86,25 310500 1,2304 0,1822 83,5099 0,0506
86,5 311400 1,2275 0,1818 83,3076 0,0505
86,75 312300 1,2245 0,1813 83,1039 0,0504
87 313200 1,2214 0,1809 82,8989 0,0502
87,25 314100 1,2184 0,1804 82,6925 0,0501
87,5 315000 1,2153 0,1800 82,4849 0,0500
87,75 315900 1,2123 0,1795 82,2759 0,0499
88 316800 1,2092 0,1791 82,0658 0,0497
88,25 317700 1,2060 0,1786 81,8545 0,0496
88,5 318600 1,2029 0,1781 81,6420 0,0495
88,75 319500 1,1998 0,1777 81,4284 0,0494
89 320400 1,1966 0,1772 81,2137 0,0492
89,25 321300 1,1934 0,1767 80,9979 0,0491
89,5 322200 1,1902 0,1762 80,7811 0,0490
89,75 323100 1,1870 0,1758 80,5633 0,0488
90 324000 1,1838 0,1753 80,3446 0,0487
90,25 324900 1,1806 0,1748 80,1250 0,0486
90,5 325800 1,1773 0,1743 79,9044 0,0484
90,75 326700 1,1741 0,1739 79,6830 0,0483
91 327600 1,1708 0,1734 79,4608 0,0482
91,25 328500 1,1675 0,1729 79,2377 0,0480
91,5 329400 1,1642 0,1724 79,0140 0,0479
91,75 330300 1,1609 0,1719 78,7895 0,0478
92 331200 1,1576 0,1714 78,5643 0,0476
92,25 332100 1,1542 0,1709 78,3384 0,0475
92,5 333000 1,1509 0,1704 78,1119 0,0473
92,75 333900 1,1476 0,1699 77,8848 0,0472
93 334800 1,1442 0,1694 77,6572 0,0471
93,25 335700 1,1408 0,1689 77,4290 0,0469
93,5 336600 1,1375 0,1684 77,2004 0,0468
93,75 337500 1,1341 0,1679 76,9713 0,0466
94 338400 1,1307 0,1674 76,7417 0,0465
94,25 339300 1,1273 0,1669 76,5117 0,0464
94,5 340200 1,1239 0,1664 76,2814 0,0462
94,75 341100 1,1205 0,1659 76,0508 0,0461
95 342000 1,1171 0,1654 75,8198 0,0460
95,25 342900 1,1137 0,1649 75,5886 0,0458
95,5 343800 1,1103 0,1644 75,3572 0,0457
95,75 344700 1,1069 0,1639 75,1255 0,0455
96 345600 1,1035 0,1634 74,8937 0,0454
96,25 346500 1,1001 0,1629 74,6617 0,0452
96,5 347400 1,0967 0,1624 74,4296 0,0451
96,75 348300 1,0932 0,1619 74,1974 0,0450
97 349200 1,0898 0,1614 73,9652 0,0448
97,25 350100 1,0864 0,1609 73,7330 0,0447
97,5 351000 1,0830 0,1604 73,5008 0,0445
97,75 351900 1,0795 0,1599 73,2686 0,0444
98 352800 1,0761 0,1594 73,0365 0,0443
98,25 353700 1,0727 0,1588 72,8045 0,0441
98,5 354600 1,0693 0,1583 72,5727 0,0440
98,75 355500 1,0659 0,1578 72,3410 0,0438
99 356400 1,0625 0,1573 72,1095 0,0437
99,25 357300 1,0591 0,1568 71,8782 0,0436
99,5 358200 1,0557 0,1563 71,6472 0,0434
99,75 359100 1,0523 0,1558 71,4165 0,0433
100 360000 1,0489 0,1553 71,1861 0,0431
100,25 360900 1,0455 0,1548 70,9560 0,0430
100,5 361800 1,0421 0,1543 70,7263 0,0429
100,75 362700 1,0387 0,1538 70,4971 0,0427
101 363600 1,0353 0,1533 70,2682 0,0426
101,25 364500 1,0320 0,1528 70,0398 0,0424
101,5 365400 1,0286 0,1523 69,8119 0,0423
101,75 366300 1,0253 0,1518 69,5845 0,0422
102 367200 1,0219 0,1513 69,3576 0,0420
102,25 368100 1,0186 0,1508 69,1313 0,0419
102,5 369000 1,0153 0,1503 68,9056 0,0418
102,75 369900 1,0119 0,1498 68,6805 0,0416
103 370800 1,0086 0,1494 68,4561 0,0415
103,25 371700 1,0053 0,1489 68,2324 0,0414
103,5 372600 1,0021 0,1484 68,0093 0,0412
103,75 373500 0,9988 0,1479 67,7870 0,0411
104 374400 0,9955 0,1474 67,5654 0,0409
104,25 375300 0,9923 0,1469 67,3446 0,0408
104,5 376200 0,9890 0,1465 67,1246 0,0407
104,75 377100 0,9858 0,1460 66,9055 0,0405
105 378000 0,9826 0,1455 66,6872 0,0404
105,25 378900 0,9794 0,1450 66,4698 0,0403
105,5 379800 0,9762 0,1446 66,2532 0,0402
105,75 380700 0,9730 0,1441 66,0376 0,0400
106 381600 0,9698 0,1436 65,8230 0,0399
106,25 382500 0,9667 0,1431 65,6093 0,0398
106,5 383400 0,9636 0,1427 65,3966 0,0396
106,75 384300 0,9604 0,1422 65,1850 0,0395
107 385200 0,9573 0,1418 64,9743 0,0394
107,25 386100 0,9542 0,1413 64,7648 0,0393
107,5 387000 0,9512 0,1409 64,5563 0,0391
107,75 387900 0,9481 0,1404 64,3489 0,0390
108 388800 0,9451 0,1399 64,1426 0,0389
108,25 389700 0,9421 0,1395 63,9375 0,0388
108,5 390600 0,9391 0,1391 63,7336 0,0386
108,75 391500 0,9361 0,1386 63,5308 0,0385
109 392400 0,9331 0,1382 63,3293 0,0384
109,25 393300 0,9301 0,1377 63,1290 0,0383
109,5 394200 0,9272 0,1373 62,9299 0,0381
109,75 395100 0,9243 0,1369 62,7320 0,0380
110 396000 0,9214 0,1364 62,5355 0,0379
110,25 396900 0,9185 0,1360 62,3403 0,0378
110,5 397800 0,9157 0,1356 62,1463 0,0377
110,75 398700 0,9128 0,1352 61,9537 0,0375
111 399600 0,9100 0,1348 61,7625 0,0374
111,25 400500 0,9072 0,1343 61,5726 0,0373
111,5 401400 0,9044 0,1339 61,3841 0,0372
111,75 402300 0,9017 0,1335 61,1970 0,0371
112 403200 0,8989 0,1331 61,0113 0,0370
112,25 404100 0,8962 0,1327 60,8270 0,0369
112,5 405000 0,8935 0,1323 60,6442 0,0368
112,75 405900 0,8909 0,1319 60,4628 0,0366
113 406800 0,8882 0,1315 60,2829 0,0365
113,25 407700 0,8856 0,1311 60,1045 0,0364
